system_size,hilbert_space_size,U,optimized_overlap,baseline_overlap,overlap_ratio
"$3\times 2,\;(3,3)$",68,14.0,0.9999999999955842,0.3892734001472056,2.5688886001905846
"$3\times 2,\;(3,3)$",68,14.25,0.999999999994726,0.38449174004260567,2.600836106086221
"$3\times 2,\;(3,3)$",68,14.5,0.9999999999923173,0.37985213711908206,2.6326033271173133
"$3\times 2,\;(3,3)$",68,14.75,0.999999999673443,0.3753492061594885,2.66418573228189
"$3\times 2,\;(3,3)$",68,15.0,0.9999997417631934,0.3709777904698084,2.695578461710034
"$3\times3,\;(3,2)$",336,0.5,0.9999993804333207,0.3332151702309316,3.001061985684147
"$3\times3,\;(3,2)$",336,0.75,0.9999995263693192,0.3328651064049406,3.0042185471756513
"$3\times3,\;(3,2)$",336,1.0,0.999999501780296,0.33229142646939414,3.0094050647208057
"$3\times3,\;(3,2)$",336,1.25,0.9999995125895579,0.3315043971550705,3.016549768785661
"$3\times3,\;(3,2)$",336,1.5,0.9999994466782195,0.3305159694303632,3.025570741412876
"$3\times3,\;(3,2)$",336,1.75,0.9999993384342234,0.3293394557831826,3.03637879055877
"$3\times3,\;(3,2)$",336,2.0,0.9999992821277932,0.3279891975906081,3.0488787114750635
"$3\times3,\;(3,2)$",336,2.25,0.9999991829898917,0.3264802363444419,3.0629700412703587
"$3\times3,\;(3,2)$",336,2.5,0.9999990730492506,0.32482800058181915,3.078549482366334
"$3\times3,\;(3,2)$",336,2.75,0.9999989646880998,0.32304801796595106,3.095511840575659
"$3\times3,\;(3,2)$",336,3.0,0.9999989226413106,0.3211556593468412,3.113751520602454
"$3\times3,\;(3,2)$",336,3.25,0.9999988469120407,0.3191659190461401,3.133162995286712
"$3\times3,\;(3,2)$",336,3.5,0.9999987179368673,0.31709323324469785,3.153642566586017
"$3\times3,\;(3,2)$",336,3.75,0.999998521696596,0.31495133633205974,3.1750889942002876
"$3\times3,\;(3,2)$",336,4.0,0.9999981959806876,0.31275315347320565,3.197404038537888
"$3\times3,\;(3,2)$",336,4.25,0.9999978604980626,0.3105107264748601,3.220493771183861
"$3\times3,\;(3,2)$",336,4.5,0.9999975121385766,0.30823516926856964,3.244268051927795
"$3\times3,\;(3,2)$",336,4.75,0.9999971777206917,0.3059366489213128,3.2686413388083233
"$3\times3,\;(3,2)$",336,5.0,0.9999969810533632,0.3036243879720568,3.293533130630452
"$3\times3,\;(3,2)$",336,5.25,0.9999968640484896,0.3013066840068248,3.31886717795427
"$3\times3,\;(3,2)$",336,5.5,0.9999968182415913,0.2989909426595909,3.3445722781646734
"$3\times3,\;(3,2)$",336,5.75,0.9999968643127845,0.29668372060394965,3.3705821885916847
"$3\times3,\;(3,2)$",336,6.0,0.9999967158141148,0.294390775532956,3.3968344082920106
"$3\times3,\;(3,2)$",336,6.25,0.999996481235858,0.29211712057421546,3.423272416454613
"$3\times3,\;(3,2)$",336,6.5,0.9999963146811423,0.289867081026707,3.4498443601776474
"$3\times3,\;(3,2)$",336,6.75,0.9999963110090431,0.2876443517161287,3.4765025109755063
"$3\times3,\;(3,2)$",336,7.0,0.9999962192565165,0.2854520536361458,3.50320204923511
"$3\times3,\;(3,2)$",336,7.25,0.9999960196778254,0.28329278886669784,3.529902838961316
"$3\times3,\;(3,2)$",336,7.5,0.999995854459721,0.2811686930376196,3.5565689894426624
"$3\times3,\;(3,2)$",336,7.75,0.9999956519252924,0.279081484836605,3.5831673051000283
"$3\times3,\;(3,2)$",336,8.0,0.9999953457567531,0.2770325122489017,3.6096678243248963
"$3\times3,\;(3,2)$",336,8.25,0.9999950030842875,0.2750227953663229,3.636044065919413
"$3\times3,\;(3,2)$",336,8.5,0.9999946567326268,0.2730530657200603,3.662272218389382
"$3\times3,\;(3,2)$",336,8.75,0.9999942949233149,0.2711238021804918,3.6883308912051973
"$3\times3,\;(3,2)$",336,9.0,0.9999939348553158,0.269235263532116,3.714201185002018
"$3\times3,\;(3,2)$",336,9.25,0.999993585776803,0.26738751787748105,3.7398663696598113
"$3\times3,\;(3,2)$",336,9.5,0.999993319489731,0.26558046905407573,3.765311971363824
"$3\times3,\;(3,2)$",336,9.75,0.999993229490187,0.26381388026607955,3.790525458636239
"$3\times3,\;(3,2)$",336,10.0,0.9999934193052469,0.2620873951412761,3.8154960438528853
"$3\times3,\;(3,2)$",336,10.25,0.999993356997496,0.26040055642474935,3.8402120591722873
"$3\times3,\;(3,2)$",336,10.5,0.9999931778183901,0.2587528225169695,3.8646657767484203
