system_size,U,sparsity,overlap
"$3\times3,\;(3,3)$",4.25,0.6439208984375,0.95
"$3\times3,\;(3,3)$",4.5,0.626617431640625,0.95
"$3\times3,\;(3,3)$",4.75,0.611236572265625,0.95
"$3\times3,\;(3,3)$",5.0,0.60638427734375,0.95
"$3\times3,\;(3,3)$",5.25,0.59503173828125,0.95
"$3\times3,\;(3,3)$",5.5,0.58404541015625,0.95
"$3\times3,\;(3,3)$",5.75,0.57708740234375,0.95
"$3\times3,\;(3,3)$",6.0,0.5673828125,0.95
"$3\times3,\;(3,3)$",6.25,0.5630340576171875,0.95
"$3\times3,\;(3,3)$",6.5,0.562530517578125,0.95
"$3\times3,\;(3,3)$",6.75,0.555572509765625,0.95
"$3\times3,\;(3,3)$",7.0,0.546875,0.95
"$3\times3,\;(3,3)$",7.25,0.5364837646484375,0.95
"$3\times3,\;(3,3)$",7.5,0.533233642578125,0.95
"$3\times3,\;(3,3)$",7.75,0.525543212890625,0.95
"$3\times3,\;(3,3)$",8.0,0.53350830078125,0.95
"$3\times3,\;(3,3)$",8.25,0.529205322265625,0.95
"$3\times3,\;(3,3)$",8.5,0.5226593017578125,0.95
"$3\times3,\;(3,3)$",8.75,0.524078369140625,0.95
"$3\times3,\;(3,3)$",9.0,0.5344696044921875,0.95
"$3\times3,\;(3,3)$",9.25,0.5464630126953125,0.95
"$3\times3,\;(3,3)$",9.5,0.5400543212890625,0.95
"$3\times3,\;(3,3)$",9.75,0.5342864990234375,0.95
"$3\times3,\;(3,3)$",10.0,0.531951904296875,0.95
"$3\times3,\;(3,3)$",10.25,0.5352935791015625,0.95
"$3\times3,\;(3,3)$",10.5,0.5293426513671875,0.95
"$3\times3,\;(3,3)$",10.75,0.522064208984375,0.95
"$3\times3,\;(3,3)$",11.0,0.5158843994140625,0.95
"$3\times3,\;(3,3)$",11.25,0.5137786865234375,0.95
"$3\times3,\;(3,3)$",11.5,0.507415771484375,0.95
"$3\times3,\;(3,3)$",11.75,0.5031814575195312,0.95
"$3\times3,\;(3,3)$",12.0,0.5049896240234375,0.95
"$3\times3,\;(3,3)$",12.25,0.5029296875,0.95
"$3\times3,\;(3,3)$",12.5,0.50640869140625,0.95
"$3\times3,\;(3,3)$",12.75,0.5062713623046875,0.95
"$3\times3,\;(3,3)$",13.0,0.5048065185546875,0.95
"$3\times3,\;(3,3)$",13.25,0.5041656494140625,0.95
"$3\times3,\;(3,3)$",13.5,0.5091552734375,0.95
"$3\times3,\;(3,3)$",13.75,0.509796142578125,0.95
"$3\times3,\;(3,3)$",14.0,0.5083541870117188,0.95
"$3\times3,\;(3,3)$",14.25,0.5110321044921875,0.95
"$3\times3,\;(3,3)$",14.5,0.51080322265625,0.95
"$3\times3,\;(3,3)$",14.75,0.509429931640625,0.95
"$3\times3,\;(3,3)$",15.0,0.509429931640625,0.95
"$3\times3,\;(4,3)$",0.5,NaN,0.95
"$3\times3,\;(4,3)$",0.75,1.54278564453125,0.95
"$3\times3,\;(4,3)$",1.0,1.273895263671875,0.95
"$3\times3,\;(4,3)$",1.25,1.1331787109375,0.95
"$3\times3,\;(4,3)$",1.5,1.035858154296875,0.95
"$3\times3,\;(4,3)$",1.75,0.9597320556640625,0.95
"$3\times3,\;(4,3)$",2.0,0.886444091796875,0.95
