system_size,U,sparsity,overlap
"$3\times 2\;(2,2)$",8.0,0.9912280701754386,0.880618928447554
"$3\times 2,\;(3,2)$",8.0,0.008771929824561403,0.9999999995402842
"$3\times 2,\;(3,2)$",8.0,0.02631578947368421,0.9999999996434763
"$3\times 2,\;(3,2)$",8.0,0.02631578947368421,0.9999999996434763
"$3\times 2,\;(3,2)$",8.0,0.03508771929824561,0.9999999996434763
"$3\times 2,\;(3,2)$",8.0,0.03508771929824561,0.9999999996434763
"$3\times 2,\;(3,2)$",8.0,0.06140350877192982,0.9999999996434763
"$3\times 2,\;(3,2)$",8.0,0.09649122807017543,0.999999970923924
"$3\times 2,\;(3,2)$",8.0,0.10526315789473684,0.9999999894801508
"$3\times 2,\;(3,2)$",8.0,0.17543859649122806,0.999998711487525
"$3\times 2,\;(3,2)$",8.0,0.20175438596491227,0.999998711487525
"$3\times 2,\;(3,2)$",8.0,0.21929824561403508,0.9999985845938965
"$3\times 2,\;(3,2)$",8.0,0.21929824561403508,0.9999985845938965
"$3\times 2,\;(3,2)$",8.0,0.22807017543859648,0.9999984633687263
"$3\times 2,\;(3,2)$",8.0,0.24561403508771928,0.9999948158629213
"$3\times 2,\;(3,2)$",8.0,0.2543859649122807,0.9999945380373714
"$3\times 2,\;(3,2)$",8.0,0.2543859649122807,0.9999945380373714
"$3\times 2,\;(3,2)$",8.0,0.2543859649122807,0.9999945380373714
"$3\times 2,\;(3,2)$",8.0,0.2543859649122807,0.9999945380373714
"$3\times 2,\;(3,2)$",8.0,0.2631578947368421,0.9999839094902936
"$3\times 2,\;(3,2)$",8.0,0.2719298245614035,0.999973748836699
"$3\times 2,\;(3,2)$",8.0,0.30701754385964913,0.9999461411680417
"$3\times 2,\;(3,2)$",8.0,0.34210526315789475,0.9995759881242161
"$3\times 2,\;(3,2)$",8.0,0.41228070175438597,0.9982184035584821
"$3\times 2,\;(3,2)$",8.0,0.4473684210526316,0.9964445544661062
"$3\times 2,\;(3,2)$",8.0,0.5087719298245614,0.9962797961189127
"$3\times 2,\;(3,2)$",8.0,0.5701754385964912,0.9926180722907187
"$3\times 2,\;(3,2)$",8.0,0.6228070175438597,0.9859139682645467
"$3\times 2,\;(3,2)$",8.0,0.6754385964912281,0.9706849528891673
"$3\times 2,\;(3,2)$",8.0,0.8333333333333334,0.8782017059232876
